,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,clusters
0,40.64749,-73.97237,149,1,9,0.21,6,365,2
1,40.75362,-73.98377,225,1,45,0.38,2,355,2
2,40.80902,-73.9419,150,3,0,0.0,1,365,2
3,40.68514,-73.95976,89,1,270,4.64,1,194,2
4,40.79851,-73.94399,80,10,9,0.1,1,0,0
5,40.74767,-73.975,200,3,74,0.59,1,129,0
6,40.68688,-73.95596,60,45,49,0.4,1,0,0
7,40.76489,-73.98493,79,2,430,3.47,1,220,2
8,40.80178,-73.96723,79,2,118,0.99,1,0,0
9,40.71344,-73.99037,150,1,160,1.33,4,188,2
10,40.80316,-73.96545,135,5,53,0.43,1,6,0
11,40.76076,-73.98867,85,2,188,1.5,1,39,0
12,40.66829,-73.98779,89,4,167,1.34,3,314,2
13,40.79826,-73.96113,85,2,113,0.91,1,333,2
14,40.7353,-74.00525,120,90,27,0.22,1,0,0
15,40.70837,-73.95352,140,2,148,1.2,1,46,0
16,40.69169,-73.97185,215,2,198,1.72,1,321,2
17,40.74192,-73.99501,140,1,260,2.12,1,12,0
18,40.67592,-73.94694,99,3,53,4.44,1,21,0
19,40.79685,-73.94872,190,7,0,0.0,2,249,2
20,40.71842,-73.95718,299,3,9,0.07,1,0,0
21,40.68069,-73.97706,130,2,130,1.09,6,347,2
22,40.67989,-73.97798,80,1,39,0.37,6,364,2
23,40.68001,-73.97865,110,2,71,0.61,6,304,2
24,40.68371,-73.94028,120,2,88,0.73,2,233,2
25,40.65599,-73.97519,60,1,19,1.37,2,85,0
26,40.86754,-73.92639,80,4,0,0.0,1,0,0
27,40.76715,-73.98533,150,10,58,0.49,1,75,0
28,40.86482,-73.92106,44,3,108,1.11,3,311,2
29,40.7292,-73.98542,180,14,29,0.24,1,67,0
30,40.82245,-73.95104,50,3,242,2.04,3,355,2
31,40.81305,-73.95466,52,2,88,1.42,1,255,2
32,40.72219,-73.93762,55,4,197,1.65,3,284,2
33,40.8213,-73.95318,50,3,273,2.37,3,359,2
34,40.6831,-73.95473,70,1,74,0.66,2,269,2
35,40.66869,-73.9878,89,4,168,1.41,3,340,2
36,40.68876,-73.94312,35,60,0,0.0,1,365,2
37,40.70186,-73.92745,85,2,231,1.96,2,22,0
38,40.63702,-73.96327,150,1,0,0.0,1,365,2
39,40.71401,-73.98917,40,1,214,1.81,4,188,2
40,40.7229,-73.98199,68,2,245,2.08,2,96,0
41,40.66278,-73.97966,120,3,15,0.39,1,345,2
42,40.69673,-73.97584,120,7,25,0.23,1,311,2
43,40.79009,-73.97927,135,4,81,0.69,1,273,2
44,40.81175,-73.94478,150,7,97,0.84,1,309,2
45,40.65944,-73.96238,150,29,11,0.49,1,95,0
46,40.74771,-73.9474,130,3,248,2.25,1,215,2
47,40.68111,-73.95591,110,7,61,0.52,1,265,2
48,40.68554,-73.9409,115,3,11,0.1,1,0,0
49,40.69142,-73.97376,80,3,135,1.16,2,192,2
50,40.68043,-73.93934,80,1,112,1.01,3,251,2
51,40.78635,-73.97008,151,2,73,0.63,1,302,2
52,40.7042,-73.9356,228,3,82,0.7,1,140,0
53,40.73506,-73.95392,144,2,328,2.82,1,234,2
54,40.73961,-73.98074,200,7,19,0.22,1,257,2
55,40.70881,-73.9593,150,30,105,0.9,1,30,0
56,40.72004,-73.99104,110,5,19,0.17,1,301,2
57,40.75531,-73.99293,69,2,289,2.49,2,294,2
58,40.72401,-73.93788,49,4,138,1.19,3,320,2
59,40.7221,-73.99775,180,30,21,0.3,1,154,2
60,40.71185,-73.96204,80,2,42,0.38,1,263,2
61,40.74623,-73.9953,375,180,5,0.12,1,180,2
62,40.77065,-73.95269,250,2,66,0.57,2,231,2
63,40.67811,-73.96428,200,30,143,1.33,2,297,2
64,40.69,-73.96788,55,7,27,0.23,2,292,2
65,40.75979,-73.99119,52,30,191,1.65,1,191,2
66,40.67343,-73.98338,225,3,4,0.16,1,0,0
67,40.72649,-73.97904,80,1,338,4.72,2,72,0
68,40.70933,-73.96792,275,1,148,1.4,1,362,2
69,40.72298,-73.98474,99,1,106,1.26,2,336,2
70,40.80164,-73.93922,225,4,190,1.64,1,215,2
71,40.72162,-73.98008,230,9,49,0.43,1,116,0
72,40.76342,-73.98865,51,7,23,0.43,1,88,0
73,40.83139,-73.94095,65,2,49,1.6,2,336,2
74,40.68346,-73.96374,105,2,105,0.92,1,304,2
75,40.72828,-73.98801,190,5,21,0.2,1,224,2
76,40.76865,-73.95058,200,1,142,1.5,1,322,2
77,40.75038,-73.90334,70,30,25,0.22,1,324,2
78,40.6932,-73.97267,95,3,143,1.28,1,132,0
79,40.74138,-74.00197,150,3,167,1.65,1,295,2
80,40.71154,-73.96112,145,3,61,0.54,4,238,2
81,40.82915,-73.95136,110,31,54,0.49,1,209,2
82,40.71851,-73.98892,285,5,70,0.62,1,328,2
83,40.65401,-73.96323,130,6,16,0.15,1,38,0
84,40.7114,-73.98794,94,30,94,0.84,1,188,2
85,40.69723,-73.99268,800,1,25,0.24,1,7,3
86,40.71833,-73.95748,105,3,61,0.53,1,272,2
87,40.72334,-73.9844,60,3,194,1.73,1,26,0
88,40.72912,-73.98057,50,1,2,0.05,1,0,0
89,40.71156,-73.96218,85,3,174,1.54,4,288,2
90,40.70032,-73.9383,65,4,24,0.28,1,317,2
91,40.68233,-73.97261,131,4,166,3.4,1,207,2
92,40.68634,-73.966,98,7,16,0.2,6,185,2
93,40.68035,-73.97162,250,7,21,0.3,1,158,2
94,40.70984,-73.95775,100,5,168,1.57,1,0,0
95,40.70093,-73.92609,105,3,118,1.05,2,9,0
96,40.79764,-73.96177,140,3,81,0.71,1,198,2
97,40.82803,-73.94731,89,1,1,0.11,1,365,2
98,40.74008,-74.00271,98,30,30,0.27,2,364,2
99,40.68413,-73.92357,125,7,139,1.23,2,311,2
100,40.82279,-73.95139,60,3,11,0.87,3,219,2
101,40.67967,-74.00154,175,2,233,2.09,3,342,2
102,40.83927,-73.94281,65,2,68,0.6,1,312,2
103,40.73096,-74.00319,500,4,46,0.55,2,243,2
104,40.71332,-73.94177,101,3,335,3.02,1,152,2
105,40.66941,-73.98109,220,30,88,0.79,1,9,0
106,40.68373,-73.92377,125,90,162,1.46,2,137,0
107,40.71459,-73.94844,80,30,29,0.4,1,222,2
108,40.8092,-73.94421,100,2,170,1.61,1,346,2
109,40.68157,-73.98989,200,30,19,0.2,1,208,2
110,40.75527,-73.99291,59,2,334,3.0,2,279,2
111,40.68698,-73.96572,125,2,19,0.2,6,250,2
112,40.7288,-73.98192,140,7,12,0.13,1,164,2
113,40.66853,-73.98912,120,30,467,4.22,2,192,2
114,40.7254,-73.98157,350,2,7,0.06,4,298,2
115,40.74294,-73.98009,199,5,38,0.38,1,260,2
116,40.71942,-73.95748,325,3,324,3.01,1,107,0
117,40.77823,-73.97637,235,6,27,0.27,1,199,2
118,40.72555,-73.97965,225,1,115,1.05,4,299,2
119,40.66831,-73.98604,99,2,354,3.2,3,20,0
120,40.82754,-73.94919,170,2,195,2.03,1,318,2
121,40.66499,-73.97925,400,2,16,0.24,2,216,2
122,40.77842,-73.97556,170,7,13,0.12,1,224,2
123,40.72245,-73.98527,100,4,25,0.23,1,0,0
124,40.65593,-73.96053,75,2,9,0.08,1,324,2
125,40.71923,-73.96468,90,1,9,0.08,1,245,2
126,40.778,-73.94822,150,5,21,0.19,1,189,2
127,40.85879,-73.93128,85,15,36,0.33,1,307,2
128,40.68332,-73.9547,70,3,63,0.58,2,310,2
129,40.81618,-73.94894,120,3,155,1.42,3,213,2
130,40.68414,-73.96351,89,3,260,2.35,1,278,2
131,40.72392,-73.99143,185,5,73,0.66,1,209,2
132,40.73494,-73.9503,50,3,193,1.86,1,0,0
133,40.71341,-73.98856,105,3,32,0.29,1,16,0
134,40.76754,-73.98399,130,2,50,0.45,3,234,2
135,40.73442,-74.00303,115,29,26,0.25,1,12,0
136,40.63188,-73.93248,77,2,2,0.02,1,178,2
137,40.6873,-73.9634,76,2,426,3.89,3,275,2
138,40.68296,-73.93662,125,3,227,2.09,2,163,2
139,40.6863,-73.96765,135,4,84,0.77,3,365,2
140,40.73409,-73.95348,250,29,3,0.03,1,34,0
141,40.71561,-73.94835,199,3,10,0.1,1,280,2
142,40.6857,-73.99183,140,2,4,0.04,1,0,0
143,40.74028,-73.83168,140,2,1,0.01,1,1,0
144,40.68281,-73.93524,115,3,124,1.72,2,170,2
145,40.71596,-73.93938,160,3,11,0.11,1,188,2
146,40.71492,-73.95935,195,4,240,2.19,1,214,2
147,40.72354,-73.98295,195,3,30,0.28,1,248,2
148,40.71165,-73.96087,80,3,200,1.86,4,262,2
149,40.69101,-73.97312,44,8,27,1.05,5,280,2
150,40.73474,-74.00101,156,4,79,0.74,1,307,2
151,40.67386,-73.96641,85,15,9,0.09,1,339,2
152,40.71536,-73.96057,125,3,155,1.61,1,1,0
153,40.6741,-73.96595,115,15,4,0.05,1,269,2
154,40.79295,-73.93997,69,2,34,0.32,1,10,0
155,40.73226,-74.00401,225,45,134,1.24,1,312,2
156,40.71363,-73.96398,125,6,27,0.25,1,189,2
157,40.77711,-73.9527,219,4,126,1.16,2,290,2
158,40.68559,-73.98094,475,3,23,0.27,1,230,2
159,40.77456,-73.95323,99,1,234,2.6,2,164,2
160,40.71088,-73.95055,69,4,202,1.86,2,53,0
161,40.74559,-73.92313,79,30,28,0.26,1,126,0
162,40.68306,-73.94659,135,2,309,2.86,2,3,0
163,40.70207,-73.98571,250,3,14,0.13,1,189,2
164,40.76123,-73.9642,250,3,4,0.08,1,365,2
165,40.66858,-73.99083,250,2,80,2.17,1,0,0
